aX,aY,aZ,gX,gY,gZ
-0.297,-0.718,-0.681,-106.445,30.396,9.155
-0.299,-0.693,-0.634,-117.676,17.883,5.127
-0.33,-0.656,-0.587,-122.498,6.042,1.099
-0.356,-0.598,-0.565,-121.704,3.479,-2.075
-0.368,-0.555,-0.582,-123.108,7.568,-4.456
-0.355,-0.518,-0.569,-130.432,12.756,-5.127
-0.348,-0.5,-0.541,-143.066,16.235,-5.798
-0.341,-0.507,-0.482,-157.349,18.066,-8.728
-0.323,-0.519,-0.411,-171.509,19.348,-13.611
-0.31,-0.542,-0.367,-181.763,21.912,-20.569
-0.314,-0.509,-0.247,-185.242,26.672,-29.114
-0.349,-0.365,-0.155,-182.007,38.635,-34.851
-0.398,-0.297,-0.091,-172.241,50.232,-33.508
-0.451,-0.27,-0.024,-165.649,60.059,-25.757
-0.495,-0.235,0.008,-166.809,72.571,-12.329
-0.503,-0.261,0.062,-173.523,82.703,3.296
-0.472,-0.296,0.123,-184.57,88.623,18.982
-0.433,-0.328,0.212,-195.312,91.919,30.396
-0.374,-0.377,0.284,-202.087,96.008,34.729
-0.306,-0.416,0.334,-205.322,102.478,32.532
-0.282,-0.43,0.422,-204.529,110.107,24.475
-0.265,-0.42,0.495,-197.632,121.216,15.564
-0.28,-0.423,0.531,-187.805,130.981,10.254
-0.295,-0.332,0.579,-179.993,134.277,13.184
-0.321,-0.258,0.597,-173.157,136.475,22.705
-0.313,-0.089,0.852,-171.021,134.583,39.307
-0.29,0.109,1.012,-177.917,126.77,60.242
-0.284,0.094,1.123,-186.707,113.892,83.313
-0.217,-0.05,1.294,-193.787,102.722,104.37
-0.106,-0.199,1.397,-203.369,94.36,117.615
-0.026,-0.319,1.563,-206.97,89.661,119.873
0.08,-0.487,1.725,-200.928,90.759,115.112
0.16,-0.643,1.76,-189.941,97.656,101.257
0.24,-0.783,1.677,-176.636,107.361,74.524
0.316,-0.827,1.568,-171.448,112.061,39.063
0.303,-0.82,1.463,-180.176,111.267,8.728
0.242,-0.937,1.229,-191.711,101.563,7.263
0.069,-0.925,1.458,-199.402,76.721,44.189
-0.103,-0.726,1.57,-231.812,74.951,97.9
-0.033,-0.393,1.605,-276.001,101.013,145.325
0.083,-0.134,1.632,-295.593,126.709,178.101
0.125,0.11,1.753,-286.133,141.663,193.115
0.382,0.376,1.094,-259.827,157.227,178.162
0.617,0.152,1.054,-209.045,104.98,147.949
0.241,0.277,1.159,-153.198,49.316,134.949
0.249,0.075,1.446,-130.371,16.113,104.37
0.313,0.148,1.377,-133.179,11.047,91.064
0.281,0.149,1.187,-134.583,13.184,88.135
0.322,0.078,1.162,-117.249,0.305,77.698
0.315,0.165,1.079,-88.501,-8.728,72.144
0.345,0.21,0.917,-73.792,-22.034,54.81
0.314,0.203,0.995,-50.598,-36.621,39.49
0.235,0.117,1.124,-38.208,-32.898,22.095
0.273,0.131,1.298,-31.311,-9.277,5.981
0.278,0.166,1.253,-25.757,21.973,-8.789
0.33,0.093,1.191,-13.367,41.016,-23.01
0.349,0.024,0.976,1.587,51.331,-36.682
0.327,0.054,0.519,13.977,42.114,-45.959
0.251,0.123,0.565,33.813,-12.268,-44.861
0.139,0.176,0.888,50.781,-85.083,-40.405
-0.005,0.145,0.965,52.063,-124.756,-41.321
-0.178,-0.098,1.079,53.162,-147.278,-43.518
-0.21,-0.138,1.237,50.293,-148.682,-33.997
-0.202,-0.115,1.475,46.265,-123.962,-22.644
-0.338,-0.338,1.381,42.542,-78.674,-20.63
-0.246,-0.015,1.46,13.733,-23.437,-13.977
-0.079,-0.21,1.106,-3.845,34.851,-18.982
,,,,,
-0.839,-0.476,-1.958,62.073,-93.689,-48.157
-0.901,-0.524,-1.866,23.254,-135.681,-36.194
-0.938,-0.544,-1.784,-9.094,-157.166,-17.09
-0.948,-0.645,-1.725,-23.621,-146.118,-0.061
-0.906,-0.756,-1.602,-34.119,-105.164,10.681
-0.808,-0.757,-1.411,-49.744,-45.776,18.127
-0.703,-0.712,-1.131,-63.171,9.094,24.353
-0.564,-0.688,-0.906,-72.571,50.171,30.457
-0.457,-0.779,-0.695,-81.543,74.036,35.217
-0.305,-0.825,-0.539,-91.492,81.787,39.917
-0.205,-0.81,-0.402,-100.769,71.35,40.771
-0.168,-0.836,-0.298,-106.384,49.683,35.217
-0.134,-0.813,-0.264,-107.788,29.968,26.794
-0.16,-0.789,-0.278,-108.826,15.137,17.212
-0.238,-0.765,-0.29,-108.948,3.113,9.033
-0.276,-0.727,-0.33,-109.558,-1.831,4.272
-0.312,-0.714,-0.359,-111.572,0.977,0.305
-0.314,-0.693,-0.389,-116.333,11.719,-3.113
-0.284,-0.69,-0.406,-126.77,26.733,-6.104
-0.242,-0.708,-0.388,-139.465,37.415,-8.057
-0.185,-0.701,-0.333,-151.489,44.556,-9.094
-0.162,-0.618,-0.256,-162.659,48.889,-11.536
-0.18,-0.503,-0.162,-169.8,50.171,-12.939
-0.193,-0.414,-0.027,-173.035,47.852,-13.367
-0.216,-0.365,0.056,-177.49,46.387,-16.052
-0.265,-0.228,0.124,-179.016,45.898,-19.348
-0.417,-0.128,0.312,-172.668,43.091,-15.686
-0.448,-0.136,0.406,-171.692,47.852,-7.446
-0.428,-0.159,0.441,-177.795,56.213,4.883
-0.371,-0.17,0.483,-184.509,56.274,17.883
-0.301,-0.258,0.574,-191.162,48.828,25.574
-0.209,-0.377,0.598,-200.195,44.067,26.428
-0.118,-0.457,0.643,-207.275,39.734,21.057
-0.051,-0.532,0.699,-209.412,36.316,9.216
0.022,-0.542,0.687,-208.069,35.828,-6.47
0.022,-0.422,0.7,-199.158,33.447,-21.851
-0.141,-0.234,0.793,-180.42,19.653,-26.733
-0.289,-0.088,0.965,-162.048,-1.587,-20.142
-0.336,0.008,1.106,-152.039,-12.939,-11.169
-0.452,0.054,1.267,-148.804,-8.606,-0.977
-0.488,0.021,1.318,-147.217,6.104,10.742
-0.395,-0.079,1.208,-151.367,28.381,16.541
-0.313,-0.196,1.125,-154.114,42.664,17.517
-0.251,-0.28,1.075,-150.208,44.922,13
-0.212,-0.401,1.087,-145.081,46.875,2.991
-0.154,-0.386,1.048,-142.822,53.162,-7.202
-0.081,-0.298,1.029,-136.719,57.434,-14.16
-0.014,-0.2,1.19,-120.178,57.373,-14.16
0.01,0.085,1.336,-105.286,62.073,-9.033
-0.274,0.246,1.598,-88.684,58.167,3.235
-0.459,0.246,1.999,-70.923,40.649,29.602
-0.36,0.171,2.168,-71.716,40.894,61.218
-0.15,-0.021,2.094,-89.783,58.289,80.933
0.092,-0.226,1.862,-106.873,62.866,80.566
0.205,-0.419,1.763,-109.924,35.034,66.223
0.197,-0.491,1.708,-99.915,-7.629,47.607
-0.038,-0.436,1.771,-84.778,-46.631,26.672
0.212,-0.39,1.011,-70.374,-63.965,2.502
0.018,-0.465,1.316,-52.002,-124.084,-12.39
-0.222,-0.268,1.212,-33.081,-122.009,-3.723
-0.149,-0.241,1.018,-27.222,-90.21,-9.521
-0.091,-0.251,0.853,-21.118,-49.744,-16.541
-0.132,-0.166,0.77,-18.677,-16.052,-9.521
-0.203,0.012,0.763,-23.071,8.728,2.136
-0.203,0.097,0.831,-31.555,25.818,6.592
-0.207,0.049,0.939,-41.26,34.241,10.986
-0.192,-0.02,1.078,-51.575,39.734,15.686
-0.182,-0.125,1.202,-59.998,50.72,10.986
-0.808,-0.664,3.022,-45.349,65.186,6.47
-0.231,-0.101,3.286,6.226,148.193,8.24
0.469,0.086,1.289,-12.512,215.698,-3.235
0.203,0.007,0.966,-12.817,100.586,-16.602
0.127,-0.571,0.789,35.522,12.756,-42.847
0.036,-0.439,0.422,62.805,-1.77,-21.179
0.017,-0.056,0.173,31.555,-12.329,-0.61
-0.038,-0.217,0.475,10.254,-43.518,-17.456
-0.15,-0.285,0.628,3.235,-38.33,-20.447
-0.293,-0.196,0.79,-6.714,-17.273,-5.066
-0.271,-0.21,1.045,-10.315,-1.282,2.747
-0.244,-0.186,1.405,-7.812,1.709,4.272
-0.249,-0.202,1.542,-1.221,9.155,-2.075
-0.155,-0.163,1.189,-2.625,27.161,-8.606
-0.152,-0.175,0.854,-3.54,23.315,-13.611
-0.171,-0.185,0.734,1.709,1.953,-12.207
-0.17,-0.226,0.727,3.235,-15.32,-8.972
-0.193,-0.238,0.879,3.296,-25.208,-2.563
-0.184,-0.214,0.993,1.465,-21.973,2.136
-0.167,-0.214,1.037,-0.793,-14.648,2.258
-0.175,-0.198,1.023,-1.282,-7.507,2.38
-0.15,-0.189,0.99,-3.479,-1.892,1.648
-0.121,-0.195,0.948,-6.897,0.916,-0.183
-0.104,-0.193,0.934,-9.766,-0.854,-1.038
-0.121,-0.189,0.951,-8.911,-5.31,-0.854
-0.137,-0.198,0.967,-6.287,-10.376,-0.305
-0.139,-0.228,0.963,-3.967,-14.16,0.244
-0.122,-0.222,0.951,-2.563,-15.015,1.404
-0.138,-0.193,0.961,-2.502,-12.878,1.648
-0.157,-0.17,0.984,-2.075,-7.935,1.221
-0.156,-0.17,0.991,-1.221,-1.831,0.427
-0.137,-0.177,0.978,-0.122,3.296,-0.305
-0.126,-0.184,0.965,0.854,4.944,-1.16
-0.132,-0.17,0.946,1.587,2.991,-1.953
-0.156,-0.17,0.95,1.648,-1.038,-2.197
-0.162,-0.166,0.948,0.732,-4.517,-1.587
-0.168,-0.157,0.955,-0.61,-7.202,-0.427
-0.174,-0.169,0.967,-0.732,-7.568,0.488
-0.166,-0.184,0.966,-1.221,-5.554,0.244
-0.167,-0.186,0.968,-1.709,-3.54,-0.61
-0.18,-0.19,0.96,-1.038,-2.014,-1.16
-0.177,-0.201,0.927,-1.282,-0.671,-1.099
-0.172,-0.194,0.928,-2.014,-0.916,-0.366
-0.167,-0.201,0.959,-1.526,-2.38,0.366
-0.155,-0.199,0.97,-0.488,-2.502,0.671
-0.153,-0.187,0.966,0,-2.686,0.671
-0.159,-0.18,0.976,0.305,-3.967,0.427
-0.165,-0.181,0.976,-0.122,-5.066,0.122
-0.161,-0.174,0.969,-0.671,-4.7,0.549
-0.151,-0.181,0.963,-1.16,-4.089,0.61
-0.143,-0.191,0.958,-1.282,-3.662,0.183
