aX,aY,aZ,gX,gY,gZ
-0.305,-0.389,0.771,2.747,0.305,-9.888
-0.292,-0.38,0.82,-10.681,-1.709,-5.737
-0.286,-0.39,0.89,-16.663,4.456,-5.371
,,,,,
0.39,-0.255,1.98,-162.659,-17.944,67.81
0.294,-0.305,1.964,-138.123,-34.302,46.265
0.359,-0.337,1.776,-98.511,-23.743,31.128
0.357,-0.456,1.48,-62.744,-4.517,22.461
0.809,-0.268,1.306,-39.673,10.01,18.311
0.397,-0.271,0.743,-42.053,26.001,-3.052
0.221,-0.075,1.475,-63.66,-48.645,-15.32
-0.18,-0.137,1.514,-93.506,-52.063,21.301
-0.113,-0.479,1.632,-117.31,-30.09,41.26
-0.036,-1.127,1.758,-111.877,-11.414,41.382
-0.378,-2.114,4,-139.282,-11.292,41.26
0.254,-1.045,3.779,-135.559,-36.255,18.433
-0.63,-0.818,1.504,2.258,-64.636,-54.565
0.46,0.782,1.739,59.448,-89.417,-28.259
-1.189,-0.184,0.754,176.636,-92.285,7.202
-0.404,-0.874,0.66,155.273,-17.151,9.583
0.12,-0.493,0.945,72.998,19.653,36.987
0.181,-0.296,0.707,88.989,-14.709,26.794
0.034,-0.241,0.543,96.741,-58.777,4.944
-0.1,-0.118,0.469,85.938,-79.285,-5.493
-0.143,-0.197,0.285,70.923,-64.392,-11.536
-0.168,-0.304,0.111,55.603,-49.988,-18.433
-0.234,-0.303,0.192,40.527,-51.758,-20.325
-0.253,-0.256,0.436,29.358,-37.842,-20.508
-0.33,-0.34,0.353,28.931,-4.395,-23.376
-0.374,-0.367,0.427,20.142,8.911,-20.63
-0.394,-0.378,0.534,8.118,15.381,-14.893
-0.388,-0.368,0.623,-3.662,16.174,-7.568
-0.391,-0.349,0.728,-13.489,12.146,-2.563
-0.409,-0.348,0.819,-19.47,3.662,-0.916
-0.408,-0.367,0.912,-21.301,-3.54,3.235
-0.367,-0.446,0.934,-17.7,-6.104,9.155
-0.321,-0.515,0.96,-13.794,-4.028,11.78
-0.294,-0.542,0.99,-13.489,-1.404,12.512
-0.284,-0.542,1.03,-14.282,0.61,13.55
-0.271,-0.525,1.054,-11.719,3.052,14.587
-0.253,-0.525,1.056,-7.324,5.005,14.404
-0.235,-0.523,1.05,-5.005,4.578,14.099
-0.222,-0.515,1.041,-2.319,1.404,12.878
-0.216,-0.492,1.016,0.244,-1.953,9.949
-0.24,-0.496,0.997,1.648,-5.615,6.775
-0.18,-0.527,0.967,2.075,-9.399,3.967
-0.149,-0.491,0.896,1.892,-14.221,5.615
-0.147,-0.49,0.898,1.038,-17.639,3.601
-0.158,-0.482,0.885,0.061,-15.686,0.549
-0.168,-0.463,0.859,-0.244,-13,0.61
-0.168,-0.454,0.887,-0.305,-12.146,0.244
